threshold,tp,tn,fp,fn,sensitivity,specificity,ppv,npv,youden_j,meets_ps_target
0.273,147,197,20,2,0.9865771812080537,0.9078341013824884,0.8802395209580839,0.9899497487437185,0.8944112825905421,True
0.274,147,197,20,2,0.9865771812080537,0.9078341013824884,0.8802395209580839,0.9899497487437185,0.8944112825905421,True
0.275,147,198,19,2,0.9865771812080537,0.9124423963133641,0.8855421686746988,0.99,0.8990195775214178,True
0.276,147,198,19,2,0.9865771812080537,0.9124423963133641,0.8855421686746988,0.99,0.8990195775214178,True
0.277,147,199,18,2,0.9865771812080537,0.9170506912442397,0.8909090909090909,0.9900497512437811,0.9036278724522933,True
0.278,147,200,17,2,0.9865771812080537,0.9216589861751152,0.8963414634146342,0.9900990099009901,0.9082361673831689,True
0.279,147,200,17,2,0.9865771812080537,0.9216589861751152,0.8963414634146342,0.9900990099009901,0.9082361673831689,True
0.28,147,200,17,2,0.9865771812080537,0.9216589861751152,0.8963414634146342,0.9900990099009901,0.9082361673831689,True
0.281,147,200,17,2,0.9865771812080537,0.9216589861751152,0.8963414634146342,0.9900990099009901,0.9082361673831689,True
0.28200000000000003,147,200,17,2,0.9865771812080537,0.9216589861751152,0.8963414634146342,0.9900990099009901,0.9082361673831689,True
0.28300000000000003,147,200,17,2,0.9865771812080537,0.9216589861751152,0.8963414634146342,0.9900990099009901,0.9082361673831689,True
0.28400000000000003,147,200,17,2,0.9865771812080537,0.9216589861751152,0.8963414634146342,0.9900990099009901,0.9082361673831689,True
0.28500000000000003,147,200,17,2,0.9865771812080537,0.9216589861751152,0.8963414634146342,0.9900990099009901,0.9082361673831689,True
0.28600000000000003,147,200,17,2,0.9865771812080537,0.9216589861751152,0.8963414634146342,0.9900990099009901,0.9082361673831689,True
0.28700000000000003,147,200,17,2,0.9865771812080537,0.9216589861751152,0.8963414634146342,0.9900990099009901,0.9082361673831689,True
0.28800000000000003,147,200,17,2,0.9865771812080537,0.9216589861751152,0.8963414634146342,0.9900990099009901,0.9082361673831689,True
0.28900000000000003,147,200,17,2,0.9865771812080537,0.9216589861751152,0.8963414634146342,0.9900990099009901,0.9082361673831689,True
0.29000000000000004,147,200,17,2,0.9865771812080537,0.9216589861751152,0.8963414634146342,0.9900990099009901,0.9082361673831689,True
0.29100000000000004,147,200,17,2,0.9865771812080537,0.9216589861751152,0.8963414634146342,0.9900990099009901,0.9082361673831689,True
0.29200000000000004,147,200,17,2,0.9865771812080537,0.9216589861751152,0.8963414634146342,0.9900990099009901,0.9082361673831689,True
0.29300000000000004,147,200,17,2,0.9865771812080537,0.9216589861751152,0.8963414634146342,0.9900990099009901,0.9082361673831689,True
0.29400000000000004,147,200,17,2,0.9865771812080537,0.9216589861751152,0.8963414634146342,0.9900990099009901,0.9082361673831689,True
0.29500000000000004,147,200,17,2,0.9865771812080537,0.9216589861751152,0.8963414634146342,0.9900990099009901,0.9082361673831689,True
0.29600000000000004,147,200,17,2,0.9865771812080537,0.9216589861751152,0.8963414634146342,0.9900990099009901,0.9082361673831689,True
0.29700000000000004,147,200,17,2,0.9865771812080537,0.9216589861751152,0.8963414634146342,0.9900990099009901,0.9082361673831689,True
0.29800000000000004,147,200,17,2,0.9865771812080537,0.9216589861751152,0.8963414634146342,0.9900990099009901,0.9082361673831689,True
0.299,147,200,17,2,0.9865771812080537,0.9216589861751152,0.8963414634146342,0.9900990099009901,0.9082361673831689,True
0.3,147,200,17,2,0.9865771812080537,0.9216589861751152,0.8963414634146342,0.9900990099009901,0.9082361673831689,True
0.301,147,200,17,2,0.9865771812080537,0.9216589861751152,0.8963414634146342,0.9900990099009901,0.9082361673831689,True
0.302,147,200,17,2,0.9865771812080537,0.9216589861751152,0.8963414634146342,0.9900990099009901,0.9082361673831689,True
0.303,147,200,17,2,0.9865771812080537,0.9216589861751152,0.8963414634146342,0.9900990099009901,0.9082361673831689,True
0.304,147,200,17,2,0.9865771812080537,0.9216589861751152,0.8963414634146342,0.9900990099009901,0.9082361673831689,True
0.305,147,200,17,2,0.9865771812080537,0.9216589861751152,0.8963414634146342,0.9900990099009901,0.9082361673831689,True
0.306,147,200,17,2,0.9865771812080537,0.9216589861751152,0.8963414634146342,0.9900990099009901,0.9082361673831689,True
0.307,147,200,17,2,0.9865771812080537,0.9216589861751152,0.8963414634146342,0.9900990099009901,0.9082361673831689,True
0.308,147,200,17,2,0.9865771812080537,0.9216589861751152,0.8963414634146342,0.9900990099009901,0.9082361673831689,True
0.309,147,201,16,2,0.9865771812080537,0.9262672811059908,0.901840490797546,0.9901477832512315,0.9128444623140446,True
0.31,147,201,16,2,0.9865771812080537,0.9262672811059908,0.901840490797546,0.9901477832512315,0.9128444623140446,True
0.311,147,201,16,2,0.9865771812080537,0.9262672811059908,0.901840490797546,0.9901477832512315,0.9128444623140446,True
0.312,147,201,16,2,0.9865771812080537,0.9262672811059908,0.901840490797546,0.9901477832512315,0.9128444623140446,True
0.313,147,201,16,2,0.9865771812080537,0.9262672811059908,0.901840490797546,0.9901477832512315,0.9128444623140446,True
0.314,147,201,16,2,0.9865771812080537,0.9262672811059908,0.901840490797546,0.9901477832512315,0.9128444623140446,True
0.315,147,201,16,2,0.9865771812080537,0.9262672811059908,0.901840490797546,0.9901477832512315,0.9128444623140446,True
